CustomerId;Surname;Gender;Age;Salary;HasCreditCard;IsActiveMember
15565701;Ferri;Female;39;90212.38;0;0
15565706;Akobundu;Male;35;83256.26;1;1
15565714;Cattaneo;Male;47;96517.97;0;1
15565779;Kent;Female;30;188258.49;1;0
15565796;Docherty;Male;48;74510.65;1;0
15565806;Toosey;Male;38;30583.95;0;0
15565878;Bates;Male;29;197963.46;1;1
15565879;Riley;Female;28;56185.98;1;1
15565891;Dipietro;Male;39;56214.09;1;0
15565996;Arnold;Male;44;154639.72;1;1
15566030;Tu;Male;41;88729.22;0;0
15566091;Thomsen;Female;32;94739.20;1;0
15566111;Estes;Male;39;48963.59;1;0
15566139;Ts'ui;Female;37;62830.97;1;0
15566156;Franklin;Female;44;151083.80;0;0
15566211;Hsu;Female;41;236.45;1;0
15566251;Ferrari;Female;37;98686.40;1;0
15566253;Manning;Male;44;146891.07;0;0
15566269;Chialuka;Male;25;47307.90;1;0
15566292;Okwuadigbo;Male;36;71709.12;0;1
15566295;Sanders;Female;33;148779.41;1;0
15566312;Jolly;Female;42;189016.24;1;1
15566378;Tillman;Male;48;147955.91;0;1
15566380;Drury;Female;33;140759.03;1;1
15566467;Hannah;Female;32;188203.58;1;1
15566494;Fang;Male;45;77475.73;1;0
15566495;Hanson;Female;24;35600.25;1;0
15566531;Iloerika;Male;33;186942.49;0;1
15566543;Aldridge;Male;44;107124.17;1;0
15566563;Duigan;Female;30;5008.23;1;0
15566594;McKenzie;Male;23;129590.18;0;0
15566633;Freeman;Male;55;144584.29;1;1
15566660;Cole;Female;41;81602.02;1;0
15566689;Chimaoke;Male;66;116747.62;1;1
15566708;Chidalu;Female;45;161653.50;1;0
15566735;Obialo;Female;36;140460.01;1;1
15566740;Nazarova;Male;51;148798.45;0;1
15566790;McIntyre;Male;28;46041.08;0;1
15566843;Gotch;Male;20;118825.56;1;1
15566891;Kinder;Female;41;178997.89;1;0
15566894;Gray;Male;39;83997.79;0;0
15566958;Li Fonti;Male;39;41183.02;1;1
15566988;Iqbal;Female;46;50595.15;1;0
15567013;De Luca;Male;33;30804.68;1;0
15567063;Manna;Female;34;137995.66;0;1
15567078;Kovaleva;Female;27;79458.12;1;1
15567114;McGarry;Male;35;2923.61;0;0
15567147;Ratten;Male;40;81908.09;1;1
15567246;Selwyn;Male;32;127433.47;1;1
15567328;Ch'en;Male;38;19233.41;0;1
15567333;Archambault;Female;31;170333.38;1;0
15567335;Allsop;Female;42;190040.29;1;1
15567339;Shaw;Male;73;114283.33;1;1
15567367;Tao;Female;42;103315.74;0;1
15567383;Slone;Female;44;31384.86;0;1
15567399;Enderby;Male;43;158646.46;1;1
15567422;Chiazagomekpele;Male;42;162697.93;1;0
15567431;Kodilinyechukwu;Male;64;186172.85;0;1
15567437;Emenike;Female;30;76503.06;1;1
15567442;Ibezimako;Female;75;1276.87;1;1
15567446;Coffman;Male;39;30838.51;1;1
15567486;Li;Female;41;164549.74;1;1
15567506;Cheatham;Female;40;194895.57;1;1
15567557;Chien;Male;27;11631.34;1;1
15567630;Bruce;Male;40;138564.48;1;0
15567725;Kodilinyechukwu;Female;46;72993.65;1;1
15567778;Genovese;Female;54;108731.02;1;1
15567802;Childs;Female;34;175480.93;1;0
15567832;Shih;Female;40;54018.93;1;0
15567834;Nieves;Male;49;16246.59;1;1
15567839;Gordon;Male;42;91429.74;0;1
15567855;Chukwufumnanya;Female;29;39382.06;0;0
15567860;Burrows;Female;44;45026.23;1;0
15567893;Lei;Male;33;62627.55;1;0
15567897;Chiazagomekpere;Male;23;143913.33;1;1
15567919;Lazarev;Male;37;104665.79;0;1
15567923;Barese;Female;30;122604.44;0;0
15567980;Frater;Female;46;140857.76;0;1
15567991;Obiuto;Male;31;175643.44;0;1
15567993;Palmer;Male;28;79355.87;1;0
15568006;Ukaegbunam;Female;45;101039.53;1;0
15568025;Hsueh;Male;51;116520.07;1;1
15568032;Moore;Male;31;163170.32;1;0
15568044;Butusov;Female;31;6123.15;1;1
15568046;Izuchukwu;Male;24;183515.13;1;0
15568088;Jamieson;Male;44;96123.72;1;0
15568104;Zubarev;Female;26;34948.77;0;1
